step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,RL,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,RL,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,transparent,AUSTRIA,4,,0,RUSSIA ,7
3,transparent,ENGLAND,4,,0,,0
3,RL,FRANCE,6,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,transparent,RUSSIA,7,,0,,0
3,transparent,TURKEY,4,,0,,0
5,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,11
5,transparent,ENGLAND,4,,0,,0
5,RL,FRANCE,6,,0,,0
5,transparent,GERMANY,5,ENGLAND ,4,,0
5,transparent,ITALY,4,,0,,0
5,transparent,RUSSIA,7,,0,AUSTRIA GERMANY TURKEY ,13
5,transparent,TURKEY,4,AUSTRIA ,4,,0
7,transparent,AUSTRIA,3,TURKEY ,5,RUSSIA ,6
7,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
7,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
7,transparent,GERMANY,6,ENGLAND ,3,FRANCE ,6
7,transparent,ITALY,5,,0,AUSTRIA ,3
7,transparent,RUSSIA,6,,0,ITALY ,5
7,transparent,TURKEY,5,AUSTRIA ,3,RUSSIA ,6
9,transparent,AUSTRIA,3,,0,ITALY TURKEY ,10
9,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,6
9,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
9,transparent,GERMANY,6,ENGLAND RUSSIA ,9,FRANCE ,6
9,transparent,ITALY,5,,0,TURKEY ,5
9,transparent,RUSSIA,6,,0,AUSTRIA ,3
9,transparent,TURKEY,5,AUSTRIA ,3,ITALY RUSSIA ,11
12,transparent,AUSTRIA,1,,0,ITALY RUSSIA ,14
12,transparent,ENGLAND,3,GERMANY RUSSIA ,13,,0
12,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
12,transparent,GERMANY,6,RUSSIA ,7,ENGLAND FRANCE ,9
12,transparent,ITALY,7,,0,AUSTRIA RUSSIA ,8
12,transparent,RUSSIA,7,,0,ITALY TURKEY ,11
12,transparent,TURKEY,4,AUSTRIA ,1,,0
14,transparent,AUSTRIA,1,,0,RUSSIA ,7
14,transparent,ENGLAND,3,GERMANY RUSSIA ,13,FRANCE ,6
14,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
14,transparent,GERMANY,6,RUSSIA ,7,FRANCE ,6
14,transparent,ITALY,7,,0,RUSSIA ,7
14,transparent,RUSSIA,7,,0,ITALY TURKEY ,11
14,transparent,TURKEY,4,AUSTRIA ,1,RUSSIA ,7
16,transparent,AUSTRIA,1,,0,,0
16,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
16,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
16,transparent,GERMANY,6,RUSSIA ,6,,0
16,transparent,ITALY,8,,0,,0
16,transparent,RUSSIA,6,,0,ITALY ,8
16,transparent,TURKEY,5,AUSTRIA ,1,ITALY RUSSIA ,14
18,transparent,AUSTRIA,1,,0,ITALY ,8
18,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,5
18,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
18,transparent,GERMANY,6,RUSSIA ,6,FRANCE ,5
18,transparent,ITALY,8,,0,AUSTRIA TURKEY ,6
18,transparent,RUSSIA,6,,0,ITALY ,8
18,transparent,TURKEY,5,AUSTRIA ,1,ITALY RUSSIA ,14
21,transparent,AUSTRIA,0,,0,,0
21,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
21,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
21,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
21,transparent,ITALY,9,,0,AUSTRIA TURKEY ,4
21,transparent,RUSSIA,6,,0,GERMANY ITALY ,15
21,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,9
23,transparent,AUSTRIA,0,,0,,0
23,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,6
23,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
23,transparent,GERMANY,6,,0,FRANCE ,6
23,transparent,ITALY,9,,0,RUSSIA TURKEY ,10
23,transparent,RUSSIA,6,,0,ITALY ,9
23,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,9
26,transparent,AUSTRIA,0,,0,,0
26,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
26,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
26,transparent,GERMANY,6,,0,FRANCE ITALY ,17
26,transparent,ITALY,11,,0,RUSSIA ,6
26,transparent,RUSSIA,6,,0,ITALY ,11
26,transparent,TURKEY,2,AUSTRIA ,0,ITALY ,11
28,transparent,AUSTRIA,0,,0,,0
28,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,6
28,RL,FRANCE,6,ITALY ,11,ENGLAND GERMANY ,9
28,transparent,GERMANY,6,,0,FRANCE ,6
28,transparent,ITALY,11,,0,RUSSIA TURKEY ,8
28,transparent,RUSSIA,6,,0,ITALY ,11
28,transparent,TURKEY,2,AUSTRIA ,0,ITALY ,11
31,transparent,AUSTRIA,0,,0,,0
31,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
31,RL,FRANCE,5,,0,ENGLAND GERMANY ITALY ,22
31,transparent,GERMANY,6,,0,FRANCE ,5
31,transparent,ITALY,13,,0,RUSSIA TURKEY ,7
31,transparent,RUSSIA,6,,0,ITALY ,13
31,transparent,TURKEY,1,AUSTRIA ,0,,0
33,transparent,AUSTRIA,0,,0,,0
33,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,5
33,RL,FRANCE,5,,0,ENGLAND GERMANY ITALY ,22
