sender,recipient,share,power1,order_type,power2,stance of recipient
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,move,,neutral
GERMANY,ENGLAND,0,GERMANY,move,,neutral
GERMANY,ENGLAND,0,GERMANY,move,,neutral
GERMANY,ENGLAND,1,GERMANY,move,,neutral
GERMANY,FRANCE,0,GERMANY,move,,neutral
GERMANY,FRANCE,0,GERMANY,move,,neutral
GERMANY,FRANCE,1,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,ITALY,0,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,RUSSIA,0,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,move,,neutral
GERMANY,RUSSIA,0,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,hold,,neutral
GERMANY,AUSTRIA,1,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,move,,neutral
GERMANY,ENGLAND,1,GERMANY,hold,,neutral
GERMANY,ENGLAND,0,GERMANY,move,,neutral
GERMANY,ENGLAND,0,GERMANY,move,,neutral
GERMANY,FRANCE,1,GERMANY,hold,,neutral
GERMANY,FRANCE,0,GERMANY,move,,neutral
GERMANY,FRANCE,1,GERMANY,move,,neutral
GERMANY,ITALY,0,GERMANY,hold,,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,hold,,neutral
GERMANY,RUSSIA,0,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,hold,,neutral
GERMANY,TURKEY,1,GERMANY,move,,neutral
GERMANY,TURKEY,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,move,,neutral
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,support,GERMANY,neutral
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,1,GERMANY,attack,FRANCE,neutral
GERMANY,ENGLAND,1,GERMANY,move,,neutral
GERMANY,ENGLAND,0,GERMANY,move,,neutral
GERMANY,ENGLAND,1,GERMANY,support,GERMANY,neutral
GERMANY,ENGLAND,1,GERMANY,move,,neutral
GERMANY,ENGLAND,1,GERMANY,attack,FRANCE,neutral
GERMANY,FRANCE,0,GERMANY,move,,neutral
GERMANY,FRANCE,1,GERMANY,move,,neutral
GERMANY,FRANCE,0,GERMANY,support,GERMANY,neutral
GERMANY,FRANCE,0,GERMANY,move,,neutral
GERMANY,FRANCE,0,GERMANY,attack,FRANCE,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,move,,neutral
GERMANY,ITALY,0,GERMANY,support,GERMANY,neutral
GERMANY,ITALY,0,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,attack,FRANCE,neutral
GERMANY,RUSSIA,1,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,support,GERMANY,neutral
GERMANY,RUSSIA,1,GERMANY,move,,neutral
GERMANY,RUSSIA,1,GERMANY,attack,FRANCE,neutral
GERMANY,TURKEY,0,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,support,GERMANY,neutral
GERMANY,TURKEY,0,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,attack,FRANCE,neutral
GERMANY,AUSTRIA,0,GERMANY,support,GERMANY,neutral
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
GERMANY,AUSTRIA,0,GERMANY,support,GERMANY,neutral
GERMANY,AUSTRIA,0,GERMANY,support,GERMANY,neutral
GERMANY,AUSTRIA,0,GERMANY,support,ENGLAND,neutral
GERMANY,ENGLAND,0,GERMANY,support,GERMANY,ally
GERMANY,ENGLAND,1,GERMANY,move,,ally
GERMANY,ENGLAND,1,GERMANY,support,GERMANY,ally
GERMANY,ENGLAND,1,GERMANY,support,GERMANY,ally
GERMANY,ENGLAND,0,GERMANY,support,ENGLAND,ally
GERMANY,FRANCE,1,GERMANY,support,GERMANY,neutral
GERMANY,FRANCE,1,GERMANY,move,,neutral
GERMANY,FRANCE,1,GERMANY,support,GERMANY,neutral
GERMANY,FRANCE,0,GERMANY,support,GERMANY,neutral
GERMANY,FRANCE,1,GERMANY,support,ENGLAND,neutral
GERMANY,ITALY,0,GERMANY,support,GERMANY,neutral
GERMANY,ITALY,0,GERMANY,move,,neutral
GERMANY,ITALY,1,GERMANY,support,GERMANY,neutral
GERMANY,ITALY,1,GERMANY,support,GERMANY,neutral
GERMANY,ITALY,0,GERMANY,support,ENGLAND,neutral
GERMANY,RUSSIA,1,GERMANY,support,GERMANY,neutral
GERMANY,RUSSIA,0,GERMANY,move,,neutral
GERMANY,RUSSIA,0,GERMANY,support,GERMANY,neutral
GERMANY,RUSSIA,0,GERMANY,support,GERMANY,neutral
GERMANY,RUSSIA,1,GERMANY,support,ENGLAND,neutral
GERMANY,TURKEY,0,GERMANY,support,GERMANY,neutral
GERMANY,TURKEY,0,GERMANY,move,,neutral
GERMANY,TURKEY,1,GERMANY,support,GERMANY,neutral
GERMANY,TURKEY,0,GERMANY,support,GERMANY,neutral
GERMANY,TURKEY,0,GERMANY,support,ENGLAND,neutral
GERMANY,AUSTRIA,0,GERMANY,move,,neutral
