power_type1,order_type,power_type2stance of recipient
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,attack,neutral,neutral
self,move,,neutral
self,support,self,neutral
self,attack,neutral,neutral
self,move,,neutral
self,attack,neutral,neutral
self,move,,neutral
self,support,self,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,support,self,enemy
self,move,,enemy
self,move,,enemy
self,support,self,neutral
self,move,,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,move,,neutral
self,attack,self,neutral
self,support,self,enemy
self,move,,enemy
self,support,self,enemy
self,move,,enemy
self,move,,neutral
self,attack,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,attack,self,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,attack,self,enemy
self,attack,enemy,enemy
self,attack,enemy,enemy
self,move,,enemy
self,attack,self,enemy
self,move,,neutral
self,attack,enemy,neutral
self,move,,neutral
self,attack,self,neutral
self,move,,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,support,self,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,move,,enemy
self,support,self,enemy
self,move,,enemy
self,convoy,self,enemy
self,attack,enemy,enemy
self,support,self,enemy
self,support,self,enemy
self,support,self,neutral
self,support,self,neutral
self,convoy,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,convoy,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,convoy,self,enemy
self,attack,enemy,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,convoy,self,enemy
self,attack,enemy,enemy
self,attack,enemy,neutral
self,support,self,neutral
self,support,self,neutral
self,support,self,neutral
self,convoy,self,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,attack,enemy,neutral
self,move,,enemy
self,move,,enemy
self,support,self,enemy
self,move,,enemy
self,move,,enemy
self,move,,enemy
self,move,,neutral
self,move,,neutral
self,attack,enemy,neutral
self,move,,neutral
self,move,,neutral
self,attack,enemy,neutral
self,move,,neutral
self,attack,enemy,neutral
self,move,,neutral
self,support,self,neutral
self,move,,enemy
self,attack,enemy,enemy
self,move,,enemy
self,attack,enemy,enemy
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,attack,enemy,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,attack,enemy,neutral
self,move,,enemy
self,hold,,enemy
self,support,self,enemy
self,hold,,enemy
self,support,self,enemy
self,move,,enemy
self,hold,,enemy
self,support,self,enemy
self,hold,,enemy
self,move,,enemy
self,hold,,enemy
self,support,self,enemy
self,hold,,neutral
self,move,,neutral
self,hold,,neutral
self,support,self,neutral
self,hold,,neutral
self,support,self,neutral
self,support,self,enemy
self,move,,enemy
self,support,self,enemy
self,move,,enemy
self,support,self,enemy
self,move,,enemy
self,support,self,enemy
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,support,self,neutral
self,hold,,enemy
self,attack,enemy,enemy
self,move,,enemy
self,hold,,enemy
self,attack,enemy,enemy
self,move,,enemy
self,hold,,enemy
self,support,self,enemy
self,move,,enemy
self,attack,enemy,enemy
self,hold,,neutral
self,support,self,neutral
self,attack,self,enemy
self,attack,self,enemy
self,move,,enemy
self,attack,self,enemy
self,attack,self,enemy
self,attack,enemy,enemy
self,attack,self,neutral
self,attack,enemy,neutral
self,move,,neutral
self,attack,self,neutral
self,attack,enemy,neutral
self,attack,self,enemy
self,support,self,enemy
self,support,self,enemy
self,attack,self,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,support,self,neutral
self,move,,enemy
self,move,,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,move,,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,move,,neutral
self,move,,neutral
self,support,self,neutral
self,attack,enemy,neutral
self,support,self,enemy
self,convoy,self,enemy
self,support,self,enemy
self,attack,enemy,enemy
self,attack,enemy,neutral
self,convoy,self,neutral
self,attack,enemy,neutral
self,attack,self,enemy
self,attack,enemy,enemy
self,attack,self,enemy
self,attack,self,neutral
self,attack,enemy,neutral
self,attack,self,neutral
self,move,,enemy
self,attack,self,enemy
self,support,self,enemy
self,attack,self,enemy
self,attack,self,neutral
self,support,self,neutral
self,attack,self,neutral
