step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,RL,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,RL,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,transparent,AUSTRIA,4,,0,RUSSIA ,7
3,transparent,ENGLAND,4,,0,,0
3,RL,FRANCE,6,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,transparent,RUSSIA,7,,0,,0
3,transparent,TURKEY,4,,0,,0
5,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,11
5,transparent,ENGLAND,4,,0,,0
5,RL,FRANCE,6,,0,,0
5,transparent,GERMANY,5,ENGLAND ,4,,0
5,transparent,ITALY,4,,0,,0
5,transparent,RUSSIA,7,,0,AUSTRIA GERMANY TURKEY ,13
5,transparent,TURKEY,4,AUSTRIA ,4,,0
7,transparent,AUSTRIA,3,TURKEY ,5,RUSSIA ,6
7,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
7,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
7,transparent,GERMANY,6,ENGLAND ,3,FRANCE ,6
7,transparent,ITALY,5,,0,AUSTRIA ,3
7,transparent,RUSSIA,6,,0,ITALY ,5
7,transparent,TURKEY,5,AUSTRIA ,3,RUSSIA ,6
9,transparent,AUSTRIA,3,,0,ITALY TURKEY ,10
9,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,6
9,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
9,transparent,GERMANY,6,ENGLAND ,3,FRANCE RUSSIA ,12
9,transparent,ITALY,5,,0,TURKEY ,5
9,transparent,RUSSIA,6,,0,AUSTRIA TURKEY ,8
9,transparent,TURKEY,5,AUSTRIA ,3,ITALY RUSSIA ,11
12,transparent,AUSTRIA,1,,0,ITALY RUSSIA ,14
12,transparent,ENGLAND,3,GERMANY RUSSIA ,13,,0
12,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
12,transparent,GERMANY,6,,0,ENGLAND FRANCE ,9
12,transparent,ITALY,7,,0,AUSTRIA RUSSIA ,8
12,transparent,RUSSIA,7,,0,ITALY ,7
12,transparent,TURKEY,4,AUSTRIA ,1,,0
14,transparent,AUSTRIA,1,,0,RUSSIA ,7
14,transparent,ENGLAND,3,GERMANY RUSSIA ,13,FRANCE ,6
14,RL,FRANCE,6,,0,ENGLAND GERMANY ,9
14,transparent,GERMANY,6,,0,FRANCE ,6
14,transparent,ITALY,7,,0,RUSSIA ,7
14,transparent,RUSSIA,7,,0,AUSTRIA ITALY TURKEY ,12
14,transparent,TURKEY,4,AUSTRIA ,1,RUSSIA ,7
17,transparent,AUSTRIA,1,,0,,0
17,transparent,ENGLAND,3,GERMANY RUSSIA ,13,,0
17,RL,FRANCE,6,,0,ENGLAND GERMANY ,8
17,transparent,GERMANY,5,,0,FRANCE ,6
17,transparent,ITALY,7,,0,RUSSIA ,8
17,transparent,RUSSIA,8,,0,ITALY ,7
17,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,7
18,transparent,AUSTRIA,1,,0,RUSSIA ,8
18,transparent,ENGLAND,3,GERMANY RUSSIA ,13,FRANCE ,6
18,RL,FRANCE,6,,0,ENGLAND GERMANY ,8
18,transparent,GERMANY,5,,0,FRANCE ,6
18,transparent,ITALY,7,,0,RUSSIA TURKEY ,12
18,transparent,RUSSIA,8,,0,ITALY ,7
18,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,7
20,transparent,AUSTRIA,1,,0,RUSSIA ,8
20,transparent,ENGLAND,3,GERMANY RUSSIA ,14,FRANCE ,5
20,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
20,transparent,GERMANY,6,,0,FRANCE ,5
20,transparent,ITALY,7,,0,RUSSIA TURKEY ,12
20,transparent,RUSSIA,8,,0,AUSTRIA ITALY ,8
20,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,7
21,transparent,AUSTRIA,1,,0,RUSSIA ,8
21,transparent,ENGLAND,3,GERMANY RUSSIA ,14,FRANCE ,5
21,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
21,transparent,GERMANY,6,,0,FRANCE ,5
21,transparent,ITALY,7,,0,RUSSIA TURKEY ,12
21,transparent,RUSSIA,8,,0,AUSTRIA ITALY ,8
21,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,7
23,transparent,AUSTRIA,1,,0,RUSSIA ,9
23,transparent,ENGLAND,3,GERMANY RUSSIA ,15,FRANCE ,5
23,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
23,transparent,GERMANY,6,,0,FRANCE ,5
23,transparent,ITALY,6,,0,GERMANY RUSSIA TURKEY ,19
23,transparent,RUSSIA,9,,0,AUSTRIA ITALY ,7
23,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,6
25,transparent,AUSTRIA,1,,0,RUSSIA ,9
25,transparent,ENGLAND,3,GERMANY RUSSIA ,15,FRANCE ,5
25,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
25,transparent,GERMANY,6,,0,FRANCE ,5
25,transparent,ITALY,6,,0,RUSSIA TURKEY ,13
25,transparent,RUSSIA,9,,0,AUSTRIA ITALY ,7
25,transparent,TURKEY,4,AUSTRIA ,1,ITALY RUSSIA ,15
27,transparent,AUSTRIA,0,,0,,0
27,transparent,ENGLAND,3,GERMANY RUSSIA ,17,,0
27,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
27,transparent,GERMANY,6,,0,FRANCE ,5
27,transparent,ITALY,5,,0,RUSSIA ,11
27,transparent,RUSSIA,11,,0,AUSTRIA ITALY ,5
27,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,5
29,transparent,AUSTRIA,0,,0,,0
